# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
126 7.53 0.909932 31.6065 0.943792 32.3375 1.1244 31.2864 0.589681 17.4178 0.788534 21.4521
127 7.59 0.921218 32.3272 0.958068 33.0858 1.1334 32.1712 0.592371 17.8815 0.800237 22.0771
128 7.65 0.935384 33.0706 0.97129 33.8565 1.14032 33.0755 0.590887 18.3514 0.811072 22.7207
129 7.71 0.949393 33.8371 0.984688 34.6501 1.14414 33.9971 0.595564 18.8324 0.816585 23.3788
130 7.77 0.965238 34.6285 0.996484 35.4658 1.14608 34.9346 0.599024 19.3239 0.820864 24.0507
131 7.83 0.982039 35.4462 1.00764 36.3034 1.14419 35.8852 0.604538 19.8275 0.827163 24.7383
132 7.89 0.999393 36.2911 1.01794 37.1625 1.14024 36.847 0.611691 20.3449 0.828643 25.4377
133 7.95 1.01575 37.163 1.02749 38.043 1.13425 37.8184 0.623258 20.8802 0.835182 26.1533
134 8.01 1.0318 38.0621 1.03386 38.9423 1.12519 38.7967 0.635289 21.4341 0.834424 26.8792
135 8.07 1.04703 38.9881 1.04074 39.8613 1.11443 39.7801 0.645918 22.0057 0.836675 27.6179
136 8.13 1.06035 39.9399 1.0457 40.7984 1.10225 40.7673 0.658832 22.5974 0.834272 28.3656
137 8.19 1.07236 40.9168 1.0496 41.7529 1.08834 41.7565 0.674455 23.2122 0.837518 29.1272
138 8.25 1.08174 41.9167 1.05214 42.7239 1.07404 42.7471 0.693659 23.8537 0.840316 29.9026
139 8.31 1.08946 42.9385 1.05392 43.7106 1.05901 43.7381 0.710168 24.5201 0.843249 30.6921
140 8.37 1.0934 43.9788 1.05459 44.7123 1.04416 44.7293 0.727642 25.2129 0.848717 31.4982
141 8.43 1.09613 45.0367 1.05478 45.7286 1.02814 45.7193 0.744648 25.932 0.849233 32.3165
142 8.49 1.0967 46.1103 1.05278 46.7575 1.01411 46.7098 0.762625 26.6789 0.855403 33.1524
143 8.55 1.09515 47.1975 1.05141 47.7995 1.00003 47.7004 0.780952 27.4547 0.860562 34.0053
144 8.61 1.0914 48.2963 1.04844 48.8533 0.987436 48.6923 0.796612 28.2572 0.867524 34.8772
145 8.67 1.08614 49.4051 1.04547 49.9188 0.974891 49.6853 0.814071 29.0887 0.873802 35.7677
146 8.73 1.0793 50.5223 1.04193 50.9954 0.964515 50.6814 0.828978 29.9473 0.885458 36.6826
147 8.79 1.0714 51.6465 1.03725 52.082 0.95461 51.6808 0.841427 30.8307 0.891116 37.6161
148 8.85 1.06258 52.7768 1.03217 53.1781 0.94589 52.6847 0.851765 31.7373 0.904412 38.5765
149 8.91 1.05331 53.9124 1.02716 54.2837 0.938369 53.6942 0.863722 32.669 0.912771 39.559
150 8.97 1.04395 55.0532 1.02195 55.3985 0.932737 54.7111 0.870481 33.6208 0.925208 40.5683
151 9.03 1.03466 56.1989 1.01639 56.5222 0.927906 55.7364 0.877711 34.5933 0.933239 41.6
152 9.09 1.02559 57.3498 1.01097 57.6547 0.924472 56.7714 0.878605 35.5798 0.939453 42.6525
153 9.15 1.01582 58.5048 1.00562 58.7962 0.922294 57.8178 0.88088 36.582 0.9412 43.7208
154 9.21 1.00637 59.6642 1.00021 59.9465 0.921445 58.8769 0.885123 37.6022 0.944181 44.8067
155 9.27 0.997468 60.8283 0.995248 61.1061 0.921628 59.9501 0.883979 38.6345 0.946633 45.9096
156 9.33 0.989784 61.9984 0.990625 62.2752 0.922921 61.0387 0.886175 39.6827 0.946839 47.0271
157 9.39 0.983021 63.1755 0.987042 63.4552 0.925705 62.1447 0.881176 40.7384 0.948379 48.1608
158 9.45 0.975897 64.3591 0.98317 64.6455 0.92908 63.269 0.878121 41.804 0.948444 49.3091
159 9.51 0.969443 65.5498 0.980713 65.8481 0.934014 64.4136 0.874305 42.8785 0.947082 50.4704
160 9.57 0.964314 66.7492 0.978574 67.0632 0.938923 65.5788 0.870454 43.9617 0.947734 51.6472
