# Chunk-averaged data for fix T_line_40 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_TEMP
500000 41 8400
  35 243.792 172.112 959.871
  36 251.03 247.989 948.668
  37 258.268 174.589 935.056
  38 265.506 245.48 930.282
  39 272.743 179.298 922.35
  40 279.981 240.736 910.998
  41 287.219 0 0
6000000 41 8400
  1 -2.29108 187.045 913.487
  2 4.94667 232.958 924.609
  3 12.1844 197.299 931.079
  4 19.4222 222.701 941.125
  5 26.6599 206.141 949.179
  6 33.8977 213.86 956.396
  7 41.1354 212.379 968.847
  8 48.3732 207.625 974.663
  9 55.6109 215.75 984.142
  10 62.8486 204.248 991.915
  11 70.0864 216.328 1001
  12 77.3241 203.674 1009.94
  13 84.5619 214.478 1016.99
  14 91.7996 205.518 1024.9
  15 99.0374 210.521 1028.53
  16 106.275 209.478 1039.08
  17 113.513 204.304 1046.9
  18 120.751 215.694 1059.52
  19 127.988 195.067 1071.34
  20 135.226 224.916 1084.33
  21 142.464 184.228 1097.94
  22 149.702 235.723 1088.71
  23 156.939 176.968 1076.16
  24 164.177 242.95 1060.96
  25 171.415 173.711 1051.46
  26 178.653 246.178 1043.96
  27 185.89 172.104 1031.89
  28 193.128 247.791 1023.24
  29 200.366 171.466 1013.05
  30 207.604 248.523 1000.12
  31 214.841 171.486 993.729
  32 222.079 248.635 986.043
  33 229.317 171.716 978.032
  34 236.555 248.393 970.221
  35 243.792 172.6 966.034
  36 251.03 247.473 961.192
  37 258.268 174.567 951.469
  38 265.506 245.484 941.168
  39 272.743 178.73 930.488
  40 279.981 241.288 921.193
  41 287.219 0 0
6500000 41 8400
  1 -2.29108 185.152 907.962
  2 4.94667 234.854 916.494
  3 12.1844 195.788 924.335
  4 19.4222 224.214 932.851
  5 26.6599 205.804 939.494
  6 33.8977 214.195 948.862
  7 41.1354 213.551 958.434
  8 48.3732 206.451 961.899
  9 55.6109 218.307 974.39
  10 62.8486 201.696 981.689
  11 70.0864 220.072 995.836
  12 77.3241 199.924 1001.32
  13 84.5619 218.966 1014.96
  14 91.7996 201.036 1021.94
  15 99.0374 215.217 1032.33
  16 106.275 204.782 1046.79
  17 113.513 207.704 1054.7
  18 120.751 212.292 1064.48
  19 127.988 197.634 1075.42
  20 135.226 222.351 1086.49
  21 142.464 185.841 1094.7
  22 149.702 234.124 1090.38
  23 156.939 177.762 1078.97
  24 164.177 242.16 1067.66
  25 171.415 173.639 1063.2
  26 178.653 246.225 1055.51
  27 185.89 171.831 1042.97
  28 193.128 247.991 1037.05
  29 200.366 171.032 1023.73
  30 207.604 248.892 1015.38
  31 214.841 170.952 1004.24
  32 222.079 249.155 989.649
  33 229.317 171.14 979.625
  34 236.555 249.022 973.948
  35 243.792 171.724 969.421
  36 251.03 248.409 955.864
  37 258.268 173.168 947.149
  38 265.506 246.904 934.105
  39 272.743 176.998 928.145
  40 279.981 243.039 916.895
  41 287.219 0 0
7000000 41 8400
  1 -2.29108 186.904 911.695
  2 4.94667 233.112 916.538
  3 12.1844 196.927 928.566
  4 19.4222 223.074 936.48
  5 26.6599 206.184 943.416
  6 33.8977 213.817 950.447
  7 41.1354 213.631 962.067
  8 48.3732 206.369 968.394
  9 55.6109 218.103 976.41
  10 62.8486 201.898 986.464
  11 70.0864 219.614 995.29
  12 77.3241 200.387 1005.99
  13 84.5619 218.017 1013.57
  14 91.7996 201.983 1023.37
  15 99.0374 213.742 1033.93
  16 106.275 206.257 1042.28
  17 113.513 207.632 1046.57
  18 120.751 212.362 1062.27
  19 127.988 197.612 1079.22
  20 135.226 222.348 1091.66
  21 142.464 185.699 1102.8
  22 149.702 234.254 1094.57
  23 156.939 177.396 1079.14
  24 164.177 242.516 1064.93
  25 171.415 173.531 1051.82
  26 178.653 246.379 1044.29
  27 185.89 171.666 1037.81
  28 193.128 248.228 1031.74
  29 200.366 170.957 1017.07
  30 207.604 249.045 1009.35
  31 214.841 170.833 1001.64
  32 222.079 249.196 988.96
  33 229.317 171.258 983.073
  34 236.555 248.83 973.64
  35 243.792 172.313 960.543
  36 251.03 247.824 952.047
  37 258.268 174.479 949.215
  38 265.506 245.597 936.938
  39 272.743 178.736 929.038
  40 279.981 241.292 916.694
  41 287.219 0 0
7500000 41 8400
  1 -2.29108 185.458 907.19
  2 4.94667 234.548 913.349
  3 12.1844 196.636 923.625
  4 19.4222 223.365 933.591
  5 26.6599 206.412 943.239
  6 33.8977 213.588 950.271
  7 41.1354 213.768 961.069
  8 48.3732 206.234 968.132
  9 55.6109 217.504 978.655
  10 62.8486 202.495 986.364
