# Time-averaged data for fix totalE
# TimeStep v_Temp v_Etotal v_Enth
3605000 452.758 -3507.43 -3507.89
3610000 453.321 -3507.95 -3508.12
3615000 453.188 -3506.62 -3505.21
3620000 454.765 -3502.91 -3505.82
3625000 454.277 -3505.29 -3506.49
3630000 453.692 -3508.13 -3509.87
3635000 454.742 -3504.22 -3502.86
3640000 454.407 -3501.85 -3502.8
3645000 455.327 -3501.79 -3502.03
3650000 455.752 -3499.02 -3498.56
3655000 454.985 -3502.54 -3502.81
3660000 456.169 -3502.16 -3501.96
3665000 456.248 -3504.31 -3504.52
3670000 456.85 -3502.62 -3503.67
3675000 455.853 -3504.81 -3508.01
3680000 456.197 -3503.05 -3503.22
3685000 457.409 -3498.37 -3496.25
3690000 458.403 -3498.55 -3498.54
3695000 457.223 -3500.17 -3499.96
3700000 457.59 -3497.38 -3497.5
3705000 458.157 -3498.55 -3499.49
3710000 458.77 -3496.08 -3497.11
3715000 458.563 -3495.97 -3493.56
3720000 457.869 -3496.57 -3496.82
3725000 459.207 -3492.38 -3493.15
3730000 459.331 -3494.33 -3493.77
3735000 459.83 -3490.05 -3488.56
3740000 459.603 -3487.99 -3488.44
3745000 460.434 -3487.43 -3486.33
3750000 460.14 -3488.72 -3492
3755000 461.045 -3487.1 -3488.59
3760000 461.114 -3486.76 -3489.11
3765000 461.492 -3485.73 -3485.08
3770000 461.336 -3488.24 -3486.02
3775000 462.542 -3484.5 -3485.28
3780000 462.229 -3488.65 -3492.22
3785000 462.375 -3491.54 -3492.95
3790000 461.86 -3491.06 -3491.02
3795000 462.969 -3488.88 -3490.86
3800000 462.958 -3485.01 -3485.17
3805000 463.719 -3481.97 -3482.83
3810000 463.868 -3483.78 -3483.66
3815000 463.187 -3484.41 -3483.99
3820000 463.926 -3480.66 -3477.67
3825000 464.098 -3481 -3482
3830000 463.359 -3482.65 -3482.71
3835000 463.598 -3481.68 -3479.39
3840000 465.55 -3477.46 -3475.75
3845000 464.903 -3477.39 -3475.99
3850000 464.647 -3478.19 -3480.6
3855000 465.929 -3474.83 -3476.36
3860000 465.913 -3470.9 -3470.39
3865000 466.703 -3468.15 -3469.37
3870000 465.918 -3471.2 -3471.1
3875000 467.355 -3470.75 -3469.61
3880000 466.684 -3470.99 -3471.41
3885000 466.611 -3472.1 -3473.49
3890000 467.093 -3473.03 -3473.3
3895000 466.775 -3471.53 -3472.67
3900000 468.416 -3470.79 -3467.61
3905000 467.744 -3470.21 -3470.93
3910000 467.143 -3468.14 -3470.82
3915000 469.577 -3461.81 -3461.68
3920000 468.573 -3463.71 -3464.81
3925000 468.846 -3463.32 -3461.76
3930000 469.508 -3461.3 -3460.83
3935000 469.596 -3463.78 -3464.03
3940000 469.024 -3463.88 -3466.8
3945000 470.324 -3464.03 -3465.2
3950000 469.893 -3468.02 -3469.27
3955000 471.096 -3464.42 -3463.94
3960000 470.76 -3460.89 -3461.2
3965000 471.088 -3457.65 -3458.46
3970000 470.887 -3456.75 -3457.07
3975000 471.21 -3459.31 -3459.35
3980000 472.371 -3457.6 -3455.35
3985000 472.845 -3454.71 -3456.37
3990000 472.239 -3455.8 -3455.42
3995000 473.766 -3453.22 -3455.43
4000000 473.43 -3448.56 -3447.77
4005000 473.635 -3446.59 -3448.07
4010000 473.578 -3446.48 -3447.12
4015000 474.021 -3445.46 -3447.14
4020000 473.816 -3447.82 -3447.59
4025000 474.45 -3449.33 -3448.02
4030000 474.368 -3450.06 -3448.13
4035000 475.467 -3443.43 -3443.38
4040000 475.059 -3439.36 -3438.64
4045000 475.354 -3439.35 -3441.08
4050000 476.351 -3438.09 -3437.77
4055000 475.822 -3441.66 -3441.63
4060000 475.866 -3442.35 -3442.03
4065000 476.487 -3438.8 -3439.37
4070000 477.619 -3432.75 -3432.31
4075000 476.832 -3435.83 -3434.29
4080000 476.413 -3439.56 -3441.58
4085000 477.416 -3437 -3435.43
4090000 476.978 -3440.12 -3438.62
4095000 477.901 -3438.74 -3439.02
4100000 477.725 -3438.82 -3438.85
4105000 477.956 -3435.39 -3432.81
4110000 477.673 -3434.53 -3433.17
4115000 478.164 -3432.42 -3433.69
4120000 478.466 -3430.83 -3432.18
4125000 479.097 -3428.68 -3427.73
4130000 480.379 -3424.88 -3424.91
4135000 480.139 -3426.05 -3426.29
4140000 479.237 -3430.3 -3429.82
4145000 480.284 -3427.79 -3427.79
4150000 480.266 -3428.48 -3428.27
4155000 480.528 -3430.32 -3431.77
4160000 480.541 -3428.73 -3428.87
4165000 481.825 -3426.46 -3427.24
4170000 482.216 -3427.69 -3426.98
4175000 481.549 -3428.7 -3427.73
4180000 481.345 -3426.63 -3427.09
4185000 481.025 -3422.93 -3419.97
4190000 482.137 -3418.44 -3419.47
4195000 482.658 -3415.4 -3415.17
4200000 482.539 -3417.1 -3414.8
4205000 482.528 -3416.86 -3415.54
4210000 483.377 -3413.91 -3416.78
4215000 483.437 -3415.57 -3413.89
4220000 484.374 -3414.77 -3414.17
4225000 484.248 -3414.47 -3413.16
4230000 484.269 -3413 -3416.24
4235000 484.493 -3415.67 -3414.93
4240000 483.99 -3419.47 -3418.6
4245000 484.832 -3411.48 -3410.45
4250000 485.635 -3406.8 -3406.63
4255000 485.608 -3407.09 -3406.01
4260000 485.123 -3405.8 -3404.24
4265000 485.816 -3405.3 -3405.1
4270000 486.389 -3403.13 -3402.35
4275000 486.322 -3403.03 -3404.08
4280000 487.528 -3405.19 -3404.63
4285000 486.963 -3407.75 -3407.47
4290000 487.338 -3404.61 -3405.56
4295000 487.263 -3402.79 -3400.29
4300000 487.528 -3404.48 -3405.17
4305000 488.057 -3398.43 -3396.28
4310000 488.792 -3399.09 -3397.53
4315000 489.485 -3398.31 -3398.2
4320000 489.019 -3399.97 -3399
4325000 489.937 -3397.32 -3397.88
4330000 488.458 -3403.6 -3404.74
4335000 489.622 -3402.9 -3400.64
4340000 489.368 -3404.43 -3404.9
4345000 489.222 -3402.3 -3402.98
4350000 490.277 -3401.49 -3402.77
4355000 490.31 -3399.89 -3400.07
4360000 490.99 -3396.46 -3396.29
4365000 490.908 -3393.43 -3394.32
4370000 491.436 -3391.59 -3386.24
4375000 491.289 -3391.87 -3394.41
4380000 491.26 -3391.2 -3392.1
4385000 493.049 -3383.57 -3383.14
4390000 492.936 -3386.46 -3385.51
4395000 493 -3390.47 -3390.29
4400000 493.378 -3385.83 -3385.27
4405000 492.415 -3387.09 -3389.85
4410000 494.088 -3387.25 -3386.89
4415000 493.34 -3387.24 -3390.4
4420000 494.314 -3385.1 -3382.95
4425000 494.489 -3384.68 -3381.96
4430000 493.934 -3386.05 -3386.27
4435000 494.724 -3382.12 -3378.54
4440000 495.002 -3382.49 -3383.52
4445000 494.261 -3382.15 -3378.83
4450000 495.483 -3376.92 -3377.12
4455000 495.257 -3379.39 -3379.29
4460000 495.232 -3377.66 -3375.13
4465000 497.232 -3377.75 -3378.37
4470000 496.318 -3377.59 -3378.09
4475000 495.9 -3379.48 -3380.54
4480000 496.787 -3376.6 -3375.97
4485000 498.109 -3376.06 -3375.44
4490000 497.56 -3377.77 -3379.32
4495000 497.203 -3372.23 -3371.09
4500000 497.641 -3373.12 -3373.78
4505000 497.901 -3375.21 -3376.49
4510000 497.259 -3374.28 -3371.91
4515000 498.629 -3369.72 -3370.4
4520000 499.001 -3368.72 -3368
4525000 498.021 -3367.19 -3365.68
4530000 499.74 -3365.04 -3362.67
4535000 499.276 -3365.21 -3364.34
4540000 499.639 -3362.22 -3360.39
4545000 499.92 -3365.17 -3364.7
4550000 499.519 -3368.7 -3368.72
4555000 501.229 -3361.42 -3361.61
4560000 500.976 -3359.85 -3360.71
4565000 501.945 -3359.54 -3356.76
4570000 501.487 -3362.58 -3362.74
4575000 501.558 -3362.62 -3361.09
4580000 502.383 -3363.68 -3362.38
4585000 502.662 -3362.43 -3362.47
4590000 502.589 -3362.66 -3360
4595000 503.65 -3355.48 -3356.13
4600000 502.334 -3359.35 -3361.51
4605000 502.445 -3361.36 -3362.21
4610000 502.831 -3359.13 -3358.04
4615000 503.007 -3362.04 -3361.58
4620000 503.198 -3358.66 -3358.53
4625000 503.614 -3354.58 -3355.92
4630000 504.893 -3350.82 -3349
4635000 504.953 -3352.82 -3351.67
4640000 504.998 -3352.24 -3352.89
4645000 504.761 -3353.55 -3351.34
4650000 505.779 -3351.96 -3349.25
4655000 505.55 -3350.64 -3350.9
4660000 506.478 -3347.27 -3346.84
4665000 505.753 -3352.5 -3349.67
4670000 506.482 -3352.11 -3354.62
4675000 506.998 -3347.56 -3347.01
4680000 506.727 -3348.89 -3351.93
4685000 507.092 -3346.05 -3346.08
4690000 508.126 -3346.24 -3346.04
4695000 508.075 -3345.22 -3346.56
4700000 507.633 -3343.82 -3343.9
4705000 508.199 -3341.77 -3341.02
4710000 509.614 -3337.74 -3339.23
4715000 507.485 -3341.44 -3340.43
4720000 508.485 -3336.58 -3339.74
4725000 509.121 -3334.05 -3333.2
4730000 509.591 -3334.62 -3337.27
4735000 509.833 -3334.69 -3335.32
4740000 510.265 -3337.82 -3339.23
4745000 509.968 -3337.84 -3337.53
4750000 511.681 -3335.59 -3334.47
4755000 510.908 -3338.86 -3338.88
4760000 511.724 -3334.12 -3332.37
4765000 510.614 -3336.94 -3336.77
4770000 510.583 -3335.11 -3334.35
4775000 510.681 -3335.33 -3337.33
4780000 512.388 -3328.33 -3325.22
4785000 512.383 -3325.96 -3325.72
4790000 512.306 -3326.66 -3327.8
4795000 512.714 -3325.54 -3327.06
4800000 511.836 -3326.05 -3326.23
4805000 513.891 -3324.36 -3322.16
4810000 512.605 -3327.06 -3328.24
4815000 513.76 -3323.59 -3323.31
4820000 513.943 -3323.67 -3322.5
4825000 514.195 -3321.54 -3320
4830000 514.496 -3321.22 -3323.11
4835000 514.439 -3319.31 -3319.35
4840000 514.738 -3320.62 -3320.32
4845000 514.268 -3321.42 -3322.77
4850000 515.829 -3316.97 -3316.82
4855000 514.86 -3321.99 -3324.19
4860000 515.697 -3321.95 -3321.25
4865000 515.657 -3323.99 -3323.86
4870000 517.337 -3313.19 -3312.96
4875000 516.847 -3314.58 -3315.59
4880000 516.162 -3318.74 -3319.17
4885000 516.935 -3317.83 -3317.27
4890000 516.081 -3321.98 -3323.96
4895000 517.523 -3318.59 -3317.11
4900000 517.62 -3315.78 -3315.48
4905000 518.471 -3311.79 -3313.36
4910000 518.061 -3310.56 -3309.56
4915000 518.433 -3309.69 -3307.75
4920000 519.451 -3308.11 -3307.68
4925000 519.065 -3309.8 -3311.01
4930000 520.231 -3306.3 -3305.29
4935000 519.943 -3307.02 -3305.31
4940000 519.26 -3310.79 -3308.81
4945000 520.314 -3309.22 -3308.55
4950000 520.216 -3310.55 -3310.18
4955000 521.485 -3304.23 -3305.4
4960000 520.052 -3305.97 -3308.47
4965000 521.145 -3305.06 -3305.85
4970000 521.946 -3304.05 -3306.68
4975000 521.332 -3302.47 -3302.61
4980000 522.251 -3302.92 -3303.49
4985000 522.094 -3303.95 -3301.56
4990000 522.113 -3303.28 -3303.48
4995000 521.957 -3301.24 -3302.17
5000000 522.998 -3298.98 -3297.95
5005000 522.697 -3300.76 -3303.67
5010000 524.333 -3296.08 -3295.75
5015000 524.065 -3296.08 -3299.01
5020000 523.995 -3293.2 -3294.59
5025000 524.323 -3294.39 -3293.54
5030000 523.463 -3294.81 -3292.93
5035000 525.003 -3289.87 -3292.56
5040000 524.559 -3292.75 -3293.73
5045000 525.931 -3286.33 -3285.03
5050000 525.478 -3286.71 -3286.33
5055000 525.47 -3288.92 -3286.74
5060000 525.635 -3285.59 -3284.56
5065000 526.087 -3280.69 -3282.18
5070000 526.318 -3281.01 -3278.41
5075000 527.133 -3281.76 -3282.76
5080000 526.886 -3284.04 -3284.46
5085000 527.374 -3283.29 -3286.61
5090000 528.007 -3280.68 -3279.41
5095000 526.942 -3280.62 -3280.07
5100000 527.252 -3282.41 -3285.11
5105000 528.655 -3277.01 -3278.12
5110000 529.204 -3281.11 -3282.42
5115000 528.062 -3279.74 -3280.2
5120000 530.344 -3274.93 -3276.3
5125000 529.173 -3276.59 -3278.92
5130000 530.081 -3273.78 -3274.29
5135000 529.484 -3274.12 -3273.34
5140000 530.809 -3270.39 -3269.73
5145000 529.599 -3274.73 -3277.27
5150000 529.885 -3272.42 -3274.29
5155000 530.332 -3274.16 -3273.11
5160000 530.909 -3273.42 -3273.23
5165000 530.448 -3271.17 -3269.53
5170000 531.417 -3272.24 -3273.8
5175000 530.828 -3270.81 -3270.41
5180000 532.113 -3271.94 -3271.79
5185000 531.821 -3273.04 -3271.42
5190000 532.631 -3269.97 -3273.07
5195000 534.083 -3263.85 -3265.17
5200000 533.1 -3267.49 -3268.63
5205000 533.577 -3264.67 -3263.72
5210000 534.451 -3259.54 -3259.15
5215000 533.501 -3267.32 -3268.91
5220000 533.907 -3266.48 -3267.38
5225000 533.318 -3265.78 -3265.97
5230000 534.727 -3262.45 -3259.31
5235000 534.976 -3266.66 -3266.84
5240000 534.453 -3266.9 -3265.83
5245000 534.83 -3266.83 -3264.93
5250000 534.863 -3267.13 -3265.39
5255000 535.878 -3268.15 -3266.82
5260000 536.132 -3262.75 -3263.49
5265000 535.674 -3256.51 -3256.69
5270000 537.034 -3257.26 -3259.03
5275000 537.055 -3255.75 -3252.7
5280000 537.215 -3252.42 -3255.17
5285000 536.592 -3255.58 -3254.57
5290000 537.172 -3253.98 -3253.77
5295000 537.266 -3258.54 -3259.35
5300000 537.488 -3256.93 -3256.42
5305000 537.221 -3255.2 -3252.69
5310000 536.817 -3253.87 -3253.29
5315000 539.539 -3248.18 -3247.08
5320000 539.303 -3248.45 -3248.38
5325000 540.518 -3247.5 -3248.97
5330000 539.266 -3245.38 -3246.89
5335000 540.059 -3247.22 -3248.41
5340000 539.832 -3251.87 -3254.44
5345000 540.5 -3246.7 -3244.64
5350000 541.02 -3244.7 -3245.12
5355000 541.216 -3242.59 -3242.08
5360000 540.006 -3246.64 -3247.02
5365000 541.309 -3241.39 -3242.44
5370000 541.433 -3241.97 -3242.86
5375000 541.66 -3238.88 -3237.14
5380000 542.711 -3234.87 -3233.25
5385000 542.213 -3237.48 -3239.86
5390000 542.856 -3236.07 -3236.63
5395000 542.572 -3237.79 -3237.11
5400000 542.457 -3232.53 -3235.03
5405000 543.079 -3232.67 -3232.04
5410000 543.442 -3232.8 -3235.47
5415000 543.603 -3234.24 -3232.04
5420000 543.653 -3235.48 -3236.42
5425000 543.335 -3239.03 -3239.36
5430000 543.902 -3235.58 -3238.29
5435000 543.939 -3232.62 -3234.79
5440000 546.187 -3224.49 -3224.54
5445000 545.856 -3223.07 -3223.7
5450000 545.763 -3222.93 -3225.16
5455000 545.631 -3223.01 -3220.91
5460000 545.756 -3222.97 -3223.1
5465000 546.228 -3222.43 -3220.89
5470000 547.498 -3219.03 -3220.33
